mfa,awareness,mean_loss_M
0.0,0.0,14.627916571291582
0.1,0.0,13.126513260238509
0.2,0.0,11.838211092802078
0.30000000000000004,0.0,10.424124251289772
0.4,0.0,9.208522363896867
0.5,0.0,8.063452338479095
0.6000000000000001,0.0,6.885875556280934
0.7000000000000001,0.0,5.771129754027572
0.8,0.0,4.8746751481133055
0.9,0.0,4.080444352828656
1.0,0.0,3.3628156558348365
0.0,0.1,13.745198140331723
0.1,0.1,12.26376960850133
0.2,0.1,10.94226467384006
0.30000000000000004,0.1,9.73828900884987
0.4,0.1,8.500683119821133
0.5,0.1,7.482710458687073
0.6000000000000001,0.1,6.446854472576094
0.7000000000000001,0.1,5.364154216169803
0.8,0.1,4.569905321041687
0.9,0.1,3.75717677886649
1.0,0.1,3.134696574917223
0.0,0.2,12.831568200483627
0.1,0.2,11.376996837802547
0.2,0.2,10.279073414993512
0.30000000000000004,0.2,9.037681918271222
0.4,0.2,7.917989475675089
0.5,0.2,6.968676345836104
0.6000000000000001,0.2,5.954528120472479
0.7000000000000001,0.2,4.999402192398462
0.8,0.2,4.244065900144899
0.9,0.2,3.5377340706529217
1.0,0.2,2.9590437346586063
0.0,0.30000000000000004,11.991606668887165
0.1,0.30000000000000004,10.580747668972649
0.2,0.30000000000000004,9.628385454121036
0.30000000000000004,0.30000000000000004,8.500822961502042
0.4,0.30000000000000004,7.427882037742418
0.5,0.30000000000000004,6.456835340906373
0.6000000000000001,0.30000000000000004,5.56965863486723
0.7000000000000001,0.30000000000000004,4.683954562983076
0.8,0.30000000000000004,3.9871890171711835
0.9,0.30000000000000004,3.3293311031520756
1.0,0.30000000000000004,2.7813184782573406
0.0,0.4,11.133508082920253
0.1,0.4,9.930246691750595
0.2,0.4,8.937847731852418
0.30000000000000004,0.4,7.916029964914139
0.4,0.4,6.862784795865854
0.5,0.4,5.965894730327284
0.6000000000000001,0.4,5.112976730289862
0.7000000000000001,0.4,4.325762606228123
0.8,0.4,3.7130220610883686
0.9,0.4,3.1193729952192024
1.0,0.4,2.5721911355450087
0.0,0.5,10.36737400094112
0.1,0.5,9.353940586080686
0.2,0.5,8.28333452677899
0.30000000000000004,0.5,7.3090973391881136
0.4,0.5,6.394915366710125
0.5,0.5,5.593465536571495
0.6000000000000001,0.5,4.78433256036374
0.7000000000000001,0.5,4.000546469817913
0.8,0.5,3.44952820861064
0.9,0.5,2.898384861046871
1.0,0.5,2.4350374157304646
0.0,0.6000000000000001,9.653995458125957
0.1,0.6000000000000001,8.730276334370146
0.2,0.6000000000000001,7.763110429460475
0.30000000000000004,0.6000000000000001,6.865147893648224
0.4,0.6000000000000001,6.006215706196493
0.5,0.6000000000000001,5.220285684616328
0.6000000000000001,0.6000000000000001,4.47770997912754
0.7000000000000001,0.6000000000000001,3.7578363284044265
0.8,0.6000000000000001,3.252238609536262
0.9,0.6000000000000001,2.734215773845092
1.0,0.6000000000000001,2.301036551498053
0.0,0.7000000000000001,9.046800468053897
0.1,0.7000000000000001,8.241934572831594
0.2,0.7000000000000001,7.31510750078204
0.30000000000000004,0.7000000000000001,6.416610049303654
0.4,0.7000000000000001,5.666507711365034
0.5,0.7000000000000001,4.8839316076716415
0.6000000000000001,0.7000000000000001,4.159460351594759
0.7000000000000001,0.7000000000000001,3.549243202844412
0.8,0.7000000000000001,3.0509595506817626
0.9,0.7000000000000001,2.6225751988900585
1.0,0.7000000000000001,2.167434396259563
0.0,0.8,8.562947440403152
0.1,0.8,7.762354394805984
0.2,0.8,6.840112463707587
0.30000000000000004,0.8,6.030768128606553
0.4,0.8,5.341560683267424
0.5,0.8,4.600839629551038
0.6000000000000001,0.8,3.915839944116819
0.7000000000000001,0.8,3.3740151631240454
0.8,0.8,2.90086863678466
0.9,0.8,2.5118511677622184
1.0,0.8,2.0679978805833747
0.0,0.9,8.030541604177763
0.1,0.9,7.251759132731202
0.2,0.9,6.467527967856182
0.30000000000000004,0.9,5.624492386059412
0.4,0.9,4.947048154944125
0.5,0.9,4.32577564203296
0.6000000000000001,0.9,3.7169488088085156
0.7000000000000001,0.9,3.2273080747447547
0.8,0.9,2.7434976673656997
0.9,0.9,2.3808690739971663
1.0,0.9,1.965531734144821
0.0,1.0,7.566943907127754
0.1,1.0,6.824029621651398
0.2,1.0,6.047354988798935
0.30000000000000004,1.0,5.326008161544165
0.4,1.0,4.7409352763738735
0.5,1.0,4.177801379596113
0.6000000000000001,1.0,3.573119149936793
0.7000000000000001,1.0,3.055088804958276
0.8,1.0,2.61184995256451
0.9,1.0,2.2219294494704687
1.0,1.0,1.8129707611354027
