seg,patch,mean_loss_M
0.0,0.0,12.846322779481884
0.1,0.0,11.573152746058438
0.2,0.0,10.504826944207974
0.30000000000000004,0.0,9.422420554114087
0.4,0.0,8.333772066106398
0.5,0.0,7.35075510702738
0.6000000000000001,0.0,6.4017645680382325
0.7000000000000001,0.0,5.611998469802769
0.8,0.0,4.909804985859192
0.9,0.0,4.334468540518438
1.0,0.0,3.7720384893157974
0.0,0.1,12.111554501149309
0.1,0.1,10.959029807887015
0.2,0.1,9.916421204013725
0.30000000000000004,0.1,8.897376205316942
0.4,0.1,7.8686953919127
0.5,0.1,6.963611294697154
0.6000000000000001,0.1,6.094894860640355
0.7000000000000001,0.1,5.302395578250486
0.8,0.1,4.65507940969309
0.9,0.1,4.055293034791059
1.0,0.1,3.5563657205296053
0.0,0.2,11.51957882584904
0.1,0.2,10.400049786423567
0.2,0.2,9.253608872487483
0.30000000000000004,0.2,8.314805621432344
0.4,0.2,7.349870769853823
0.5,0.2,6.481059690116184
0.6000000000000001,0.2,5.687682893014386
0.7000000000000001,0.2,4.976448423881427
0.8,0.2,4.353756341274323
0.9,0.2,3.8244443412298623
1.0,0.2,3.3344817401249642
0.0,0.30000000000000004,10.815455061637566
0.1,0.30000000000000004,9.795315818337784
0.2,0.30000000000000004,8.752203037176315
0.30000000000000004,0.30000000000000004,7.8113513623508215
0.4,0.30000000000000004,6.915567973987123
0.5,0.30000000000000004,6.05288664712829
0.6000000000000001,0.30000000000000004,5.287411022220213
0.7000000000000001,0.30000000000000004,4.666498384174274
0.8,0.30000000000000004,4.088561180828536
0.9,0.30000000000000004,3.566346804894661
1.0,0.30000000000000004,3.1605312776240506
0.0,0.4,10.145272853236577
0.1,0.4,9.182596968756133
0.2,0.4,8.173572886244692
0.30000000000000004,0.4,7.258732318054039
0.4,0.4,6.475877159330766
0.5,0.4,5.677957333775866
0.6000000000000001,0.4,4.961818748117952
0.7000000000000001,0.4,4.381785829088793
0.8,0.4,3.8798714259328384
0.9,0.4,3.4262119237211097
1.0,0.4,2.983424462962619
0.0,0.5,9.566817054624625
0.1,0.5,8.66638365118388
0.2,0.5,7.789177902154711
0.30000000000000004,0.5,6.909651961699723
0.4,0.5,6.110841665089267
0.5,0.5,5.363638905157507
0.6000000000000001,0.5,4.725775492048868
0.7000000000000001,0.5,4.127328111131372
0.8,0.5,3.6599847548818434
0.9,0.5,3.2015654081887917
1.0,0.5,2.817738209610282
0.0,0.6000000000000001,8.994565462719324
0.1,0.6000000000000001,8.080819191350761
0.2,0.6000000000000001,7.252555529928419
0.30000000000000004,0.6000000000000001,6.451670907406556
0.4,0.6000000000000001,5.763031482158273
0.5,0.6000000000000001,5.005907384158052
0.6000000000000001,0.6000000000000001,4.453806004635061
0.7000000000000001,0.6000000000000001,3.910676348660144
0.8,0.6000000000000001,3.4383114357271793
0.9,0.6000000000000001,3.043397230017107
1.0,0.6000000000000001,2.682358495259552
0.0,0.7000000000000001,8.487551651379357
0.1,0.7000000000000001,7.552123697419423
0.2,0.7000000000000001,6.803141948067028
0.30000000000000004,0.7000000000000001,6.0740866020775055
0.4,0.7000000000000001,5.359072141064279
0.5,0.7000000000000001,4.694627293871842
0.6000000000000001,0.7000000000000001,4.177842445065669
0.7000000000000001,0.7000000000000001,3.606553755186774
0.8,0.7000000000000001,3.1650795178883593
0.9,0.7000000000000001,2.8108660693500123
1.0,0.7000000000000001,2.4928331758866196
0.0,0.8,7.917202795785753
0.1,0.8,7.074641686770157
0.2,0.8,6.336941118007447
0.30000000000000004,0.8,5.61854313501943
0.4,0.8,4.926839222290398
0.5,0.8,4.329754320988992
0.6000000000000001,0.8,3.8651902545778247
0.7000000000000001,0.8,3.4100849099047412
0.8,0.8,2.9745063359725736
0.9,0.8,2.6542425476529417
1.0,0.8,2.364166563417603
0.0,0.9,7.367595773960012
0.1,0.9,6.618449629931594
0.2,0.9,5.966926949327242
0.30000000000000004,0.9,5.301625460287644
0.4,0.9,4.623726853067925
0.5,0.9,4.10287163949153
0.6000000000000001,0.9,3.6102110521042654
0.7000000000000001,0.9,3.232678504351139
0.8,0.9,2.8385824836556925
0.9,0.9,2.5102015312615644
1.0,0.9,2.2404761913881748
0.0,1.0,6.866658050800988
0.1,1.0,6.234371736116209
0.2,1.0,5.591622602002826
0.30000000000000004,1.0,4.897324227360386
0.4,1.0,4.301568649345438
0.5,1.0,3.8444114320720497
0.6000000000000001,1.0,3.3975526650279244
0.7000000000000001,1.0,3.0300131755942905
0.8,1.0,2.6690408743565945
0.9,1.0,2.3794236668547812
1.0,1.0,2.1168990622391157
